	CGM_0	CGM_1	CGM_2	CGM_3
e9d4152e-50a9-4811-a932-90dd83e8f7ea	3.5852438031666334	1.843997588096738	2.0475763308009216	1.1074042148029277
bd52f6c8-6f8b-4056-8a3e-8cdc96644952	1.4519068050443094	1.603368184164441	3.647605090450887	4.0073523076324244
34f45ad7-bebd-4525-9102-911239d5b27d	1.8884124964709956	0.9719274490365323	3.141286320621373	2.383389641463874
8e7ea117-cc02-4827-8be3-d99488389bb8	3.645786562309422	2.8524152867999693	3.289333737338404	3.4909937179717048
c3859e83-cce1-4fd0-9088-575850145632	2.855910240495815	3.1561941519637178	4.324945712036173	4.05635134876254
9ac4c236-3dd9-4549-86be-fd8c0b4cb7d6	3.498016841178701	2.1684885059419376	2.0722371604351504	2.9035180267242438
e53ef6c8-f873-4aab-a1e4-983e5faaead1	2.9319453703187532	4.006749804140593	2.4747374509022135	3.180282271436108
0dd57486-1eb3-4711-b4ec-8e9de0c4c5a2	1.3405018291040183	4.728119422321227	2.7645728787491275	2.847588832989039
d8ce29f1-3d83-4639-b02b-849510bc17d8	1.8033930017278412	3.8257060190272294	3.7995849785718376	2.1429476787172357
a1277826-2975-4368-8221-e3cd58f97008	4.025843470575016	1.9453009893683146	1.25784872772623	1.316959821893544
1f2028e7-ec61-4fe1-b8bc-26e909957068	1.942605897172521	2.246863555938783	4.53344640977769	3.1037725097425115
339643c4-b114-415e-83f4-3d45cb212e9e	1.1467549865473874	1.406519092716162	4.439804875951744	3.60842219356778
3a45133a-ac40-473c-9c32-015a837965cb	3.4133331674212304	2.001185855550447	2.7855688787078408	3.5755513859739816
48c72fa3-43b5-4a3f-a712-afce30a963b4	1.603149806738	4.360804451230334	3.105057074569979	2.3236628179183074
fd6e9c41-8a8b-40c0-ac8f-230ed9b4d6f2	1.8923493139545078	3.221096772960548	2.4503834952896866	2.879787121853935
78354679-491a-4177-af56-863fffbd7f23	3.237973698449132	1.7359299092361142	1.3550922050810548	1.4476885117305278
b8e668aa-1359-418b-9cd6-dc200dd91706	1.2197950539526852	3.7221809294579695	3.2801019835331067	2.8667788773980964
c8457ee8-a843-4b60-a7b0-0c802c547d43	3.4243985402521506	2.149485024075683	2.046577463361817	1.921703711298998
61e0673f-1e54-4e53-bab3-80117d5f8841	3.6146620975562493	2.6285998203342698	1.3993507537555596	1.6466130064522637
b362e14a-00ff-4f53-be6a-99440b3cd0d5	4.169183209604292	1.7473708680158748	2.211039878525166	2.231799286926465
60832867-d7b9-4749-a536-847f46299e07	1.6061318248786975	4.450377342540096	3.548268798966859	2.771503408795355
fc2c2d9b-9a57-4f6c-a84a-c42f8218cb9c	1.75339092414227	4.955900321739906	4.064211676602368	2.6228789461920967
2e7e37e4-d854-4c8f-bfdf-ba8ebb63d8c9	3.4452343927483566	2.586264520950462	2.3094831744379194	2.7777611066294874
a40af2c3-357a-4b23-8ed8-2982f5a5ff65	2.0863114829336378	2.0720346417489552	3.924776892679984	2.7526744432290506
95767ca7-d51b-4210-9980-4daa889168fd	3.7474731173406592	2.253888946996692	1.3304172685421878	1.6934796663605822
f881311a-b8fb-4a72-ac39-5fe6becbbf7b	3.148326452191358	3.5245020755538454	3.6884097203235946	2.57444370852662
f152c7d0-14ce-403b-b3e3-163bf3e08507	3.484439264929816	3.046897755941998	3.0285115733104653	3.8280369986159806
54991bf3-8da2-4bbd-a101-b9a7a038a05a	2.604170545360086	2.1765796946224607	4.212966944164717	3.0398025160353135
6bc46915-4f60-4553-8db9-e136df580a54	3.222721057186528	2.9303005344249478	2.319160959568126	2.378511454445089
33506269-8eac-4273-8ea5-0d8a4d82d329	3.3181521509212426	3.0121240256302637	2.613677419529346	3.258684858659228
2fd7f864-8f3a-4299-8890-d0347ff9b074	3.984565588543776	1.7627916262697358	2.4787396216685096	1.550291949805746
dd578d7c-9577-4bda-a1b1-1fd063206537	3.580317467058821	1.3098691123562936	2.2481713771000695	2.152866151097482
13624e34-f4d6-43d0-8fea-36dc5b731f2a	1.170817071396497	1.9190399016390534	5.117019398211706	2.7674842700935947
83db339e-52be-4880-b824-386d2a2f6c3f	2.764420331426607	1.390347582861776	2.6214267867095953	3.0797529082537394
34adff41-4eb8-4d9d-8cdf-b21b43f40062	2.7991682828096076	1.4549186848401927	3.113147077051694	2.8411205715830623
2fd4f1f9-57c6-4729-a541-6fa8a58950a6	2.4677076841044494	5.513740566350729	2.5254439387848158	2.9564189040828484
97b0d812-02d4-49b5-9865-d123d2d39f6d	3.4780913741266524	2.657249436523771	2.899118978135727	2.257129953010684
01d381c7-6398-47cb-925c-078cd538852f	4.0526449850547115	2.3041285128926443	2.702458395914224	2.5612306325377534
bac5cad8-043b-490f-86e8-b26325ad5499	2.3871638214429383	0.9300248008413513	1.9173565859532584	2.1928915269119678
540d3370-ee6b-41df-9670-650800b9596a	4.130128967197871	1.5227292366607812	1.9371028537930246	2.028427786169561
11e9f587-e1cd-446e-bba0-9991b1540e83	1.8555305515776452	4.031630331944056	3.5316581242962606	2.396624353915771
f4e3ab79-7ff4-4d67-9b94-527c41f6c98c	3.288150712682621	1.5283216518295677	1.3110702408931094	1.920025027512081
75d632c1-2a57-4a2b-850e-42a879fabe87	3.548489464624637	2.997096138361842	1.6637953561507985	1.8239249629637737
d3ef39a7-6a70-4a2e-9138-80b60e6c0925	3.6026499494063957	1.9391119408394457	1.6987109613399063	2.9540778399364407
0eb7d661-320f-4b56-9a22-5750cfb4f34f	3.616482531996916	2.6354309636552333	2.0955639133923136	1.419661682836743
c5d03736-e541-4e69-bac1-91560edbac0e	1.3102292766517583	3.3039275016686043	4.316608925972272	2.614797465358067
